TICKER	CCAT
FSBA Comdty	20301010
FSCA Index	509080
FSDA Comdty	401050
FSEA Index	503080
FSOA Comdty	502030
FSPA Comdty	25401023
FSRA Comdty	40101020
FSWA Comdty	502030
FSYA Index	503080
FTA Index	503080
FTBAW Comdty	10105010
FTBAY Comdty	10105010
FTCA Comdty	403010
FTIA Comdty	103050
FTKA Comdty	10105020
FTKAQ Comdty	10105020
FTKAW Comdty	10105020
FTKAY Comdty	10105020
FTOA Comdty	101040
FTYA Comdty	10102050
FUA Comdty	201040
FUAA Comdty	403010
FUBA Index	503080
FUBAW Comdty	10105010
FUDA Comdty	101040
FUEA Index	503080
FUIA Comdty	401020
FUPA Comdty	10105010
FUPA Curncy	501010
FUPAW Comdty	10105020
FURA Comdty	101040
FUSA Comdty	10103080
FUSA Curncy	501010
FUWA Comdty	401050
FUYA Comdty	10105010
FVA Comdty	502010
FVAA Comdty	10105010
FVBA Comdty	10103050
FVCA Comdty	10105010
FVDA Comdty	10105020
FVEA Comdty	10105020
FVIA Comdty	10105030
FVIA Index	503080
FVLA Comdty	10105030
FVOA Comdty	10105010
FVPA Comdty	10105010
FVRA Comdty	10105030
FVSA Comdty	10105010
FVSA Index	503030
FVTA Comdty	10105020
FVWA Comdty	502080
FWAA Comdty	502010
FWCA Comdty	10105020
FWDA Comdty	10105020
FWEA Comdty	10105020
FWIA Comdty	502035
FWOA Comdty	101040
FWPAW Comdty	10105020
FWRA Comdty	502035
FWSA Comdty	502035
FWTA Comdty	10105010
FWWA Comdty	10105030
FXEA Index	503080
FXOA Index	503080
FXPA Index	503080
FXRA Index	503080
FXSA Index	503080
FXWA Index	503080
FXYA Index	503080
FYA Comdty	201040
FYEA Index	503080
FYSA Comdty	10103010
FZAA Comdty	502035
FZAA Curncy	501010
FZBA Curncy	501010
FZCA Curncy	501010
FZEA Comdty	30603020
FZEA Curncy	501010
FZIA Curncy	501010
FZLA Curncy	501010
FZTA Comdty	502030
FZWA Comdty	502035
FZYA Index	503080
G A Comdty	502010
G0A Comdty	206050
G1A Comdty	10103080
G9A Comdty	101010
GBA Curncy	501010
GCA Comdty	102010
GCWA Comdty	102010
GDA Comdty	10103010
GDEAY Comdty	10105010
GFA Comdty	10103030
GIA Comdty	10105010
GIA Index	509080
GJA Comdty	10105020
GJA Curncy	501010
GKA Comdty	101020
GKWA Comdty	101020
GMA Comdty	502020
GNA Comdty	10105010
GNA Index	503080
GOA Comdty	10105010
GPA Comdty	10105010
GPA Index	503080
GPPA Comdty	10105020
GRA Comdty	10105010
GSA Comdty	10103080
GTA Comdty	10105010
GUA Curncy	501010
GWPAY Comdty	10105020
GXGX Index	503080
H1A Comdty	10105010
H2A Comdty	10105010
H3A Comdty	10105010
H4A Comdty	10105010
HACA Comdty	103020
HADA Comdty	103020
HAEA Comdty	103020
HAOA Comdty	103020
HAPA Comdty	103020
HARA Comdty	103020
HASA Comdty	101010
HBA Comdty	101010
HBBA Comdty	10102050
HBDA Comdty	401020
HBWAW Comdty	10105010
HCA Index	503080
HCBA Comdty	10102050
HCTA Index	503080
HDAA Comdty	10105020
HDCA Comdty	401020
HDDA Comdty	101040
HDIA Comdty	101010
HDOA Comdty	10105030
HDPA Comdty	30601020
HDSA Comdty	103520
HEA Curncy	501010
HERA Comdty	103520
HEYA Comdty	101040
HFYA Comdty	502035
HGA Comdty	103010
HGA Index	503080
HGAA Comdty	103010
HGEA Comdty	103010
HGOA Comdty	103010
HGWA Comdty	103010
HHCA Index	503080
HHLA Comdty	10105020
HHPA Comdty	10105020
HHSA Comdty	10105020
HHTA Comdty	10105020
HHTA Index	503080
HHWA Comdty	10105030
HHYA Comdty	10105030
HIA Comdty	10105020
HIA Index	503080
HIAA Comdty	101010
HILA Comdty	10101080
HIOA Index	503080
HIWA Index	503080
HIYA Comdty	10105010
HJA Comdty	502020
HJAA Index	503080
HJBA Index	503080
HJCA Index	503080
HJDA Index	503080
HJEA Index	503080
HJIA Index	503080
HJLA Index	503080
HJOA Index	503080
HJPA Index	503080
HJRA Index	503080
HJSA Index	503080
HJTA Index	503080
HJWA Index	503080
HJYA Index	503080
HKA Comdty	10105010
HKA Index	503080
HKAA Index	503080
HKBA Index	503080
HKCA Comdty	103025
HKCA Index	503080
HKDA Comdty	103025
HKDA Index	503080
HKEA Comdty	103025
HKEA Index	503080
HKIA Index	503080
HKLA Index	503080
HKOA Comdty	103025
HKOA Index	503080
HKPA Comdty	103025
HKRA Comdty	103025
HKRA Index	503080
HKSA Index	503080
HKTA Index	503080
HKYA Index	503080
HLCA Comdty	103060
HLCA Index	503080
